id,doc_name,chapter_num,chapter_name,link
1,Указ Президента,1,Приоритетное направление деятельности,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch1
2,Указ Президента,2,Определение целей,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch2
3,Указ Президента,2.а,Повышение удовлетворенности потребителей,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch2a
4,Указ Президента,2.б,Повышение экономической эффективности,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch2b
5,Указ Президента,2.в,Стабильный  рост  и   развитие   многоукладной   экономики,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch2v
6,Указ Президента,3,Определение основополагающих принципов по развитию конкуренции,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3
7,Указ Президента,3.а,Сокращение доли хозяйствующих  субъектов,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3a
8,Указ Президента,3.б,Обеспечение  равных   условий   и   свободы,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3b
9,Указ Президента,3.в,Обеспечение развития малого и среднего предпринимательства,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3v
10,Указ Президента,3.г,Направленность государственных инвестиций,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3g
11,Указ Президента,3.д,Обеспечение условий,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3d
12,Указ Президента,3.е,Недопустимость сдерживания,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3e
13,Указ Президента,3.ж,Государственное регулирование цен,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3j
14,Указ Президента,3.з,Недопустимость гос.регулирования цен,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3z
15,Указ Президента,3.и,Развитие конкуренции,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3i
16,Указ Президента,3.к,Сочетание контролей,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3k
17,Указ Президента,3.л,Стимулирование хоз.субъектов,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3l
18,Указ Президента,3.м,Открытость антимонопольной политики,http://fas.gov.ru/upload/opendata/7703516539-ukazrazvitkonkurent/ukaz619.html#ch3m
